orgao_superior_nome;orgao_nome;nome_item;nome_natureza_despesa_detalhada;valor
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Comunicação em Geral;SERVICOS GRAFICOS E EDITORIAIS;36159.85
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;SEGUROS EM GERAL;11435.74
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;CONFECCAO DE UNIFORMES, BANDEIRAS E FLAMULAS;4640
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;142083.57
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;12741.95
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Diárias;HOSPEDAGENS;800
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;SERVICOS DE CONTROLE AMBIENTAL;6447
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Cópias e Reproduções de Documentos;SERVICOS DE COPIAS E REPRODUCAO DE DOCUMENTOS;18006.1
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;SERVICOS DE OUTSOURCING - ALMOX VIRTUAL (IN 51/2021);0.08
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Comunicação em Geral;SERVICOS DE PUBLICIDADE LEGAL;337.98
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Locações de Mão-de-Obra e Terceirização;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;25829.80907
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;LOCACAO DE EQUIPAMENTOS DE TIC - IMPRESSORAS;31002.73
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;LOCACAO DE SOFTWARES;1184
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;SUPORTE DE INFRAESTRUTURA DE TIC;9837.1
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;COMUNICACAO DE DADOS E REDES EM GERAL;10778.25
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;TELEFONIA FIXA E MOVEL - PACOTE DE COMUNICACAO DE DADOS;13451.53
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;OUTSOURCING DE IMPRESSAO;123951.53
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;EMISSAO DE CERTIFICADOS DIGITAIS;2554
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Tecnologia da Informação e Comunicação;SERVICOS DE TIC PESSOA JURIDICA - PAGAMENTO ANTECIPADO;1400.093698
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Passagens e Despesas com Locomoção;RESSARCIMENTO DE PASSAGENS E DESP.C/LOCOMOCAO;160058.18
MINISTÉRIO DA DEFESA;COMANDO DA MARINHA;Diárias;DIARIAS NO PAIS;20779.95
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;10379.6
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Locações de Mão-de-Obra e Terceirização;OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO;0
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Tecnologia da Informação e Comunicação;MANUTENCAO CORRETIVA/ADAPTATIVA E SUSTENTACAO SOFTWARES;9972.48
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Tecnologia da Informação e Comunicação;MANUTENCAO E CONSERVACAO DE EQUIPAMENTOS DE TIC;11219.32
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Tecnologia da Informação e Comunicação;COMUNICACAO DE DADOS E REDES EM GERAL;2279.32
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Tecnologia da Informação e Comunicação;TELEFONIA FIXA E MOVEL - PACOTE DE COMUNICACAO DE DADOS;1358.4
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Tecnologia da Informação e Comunicação;OUTSOURCING DE IMPRESSAO;9506.16
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Tecnologia da Informação e Comunicação;EMISSAO DE CERTIFICADOS DIGITAIS;204.47
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;Passagens e Despesas com Locomoção;RESSARCIMENTO DE PASSAGENS E DESP.C/LOCOMOCAO;291.05
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;Contratação Temporária;AUXILIO-ALIMENTACAO;100674.01
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;Contratação Temporária;AUXILIO-CRECHE;10255.51
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;Contratação Temporária;AUXILIO-TRANSPORTE;145.53
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Telecomunicações;SERVICOS DE TELECOMUNICACOES;59644.38
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;SERVICO DE SELECAO E TREINAMENTO;158.867604
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Comunicação em Geral;SERVICOS DE COMUNICACAO EM GERAL;1759.01
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Limpeza e Conservação;SERVICOS DOMESTICOS;60479.58
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;SERVICOS DE GAS;5457.39
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Água e Esgoto;SERVICOS DE AGUA E ESGOTO;392631.21
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Serviços de Energia Elétrica;SERVICOS DE ENERGIA ELETRICA;51832.94
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Apoio Administrativo, Técnico e Operacional;FORNECIMENTO DE ALIMENTACAO;90963.34
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL DE SINALIZACAO VISUAL E OUTROS;2562.6
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;FERRAMENTAS;3141.38
MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;Material de Consumo;MATERIAL P/ UTILIZACAO EM GRAFICA;10374.9
